"work","workDate","relatedConceptsWork"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C3019816032"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C32909587"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C93275456"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C181389837"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C98274493"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C2779433975"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C21951064"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C108586683"
"https://semopenalex.org/work/W4293211994","2022-12-01","https://semopenalex.org/concept/C134424308"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C127413603"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C509974204"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C548081761"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4292853251","2022-12-01","https://semopenalex.org/concept/C519536355"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C70721500"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C18150654"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4306818361","2022-12-01","https://semopenalex.org/concept/C3019816032"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C203014093"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C95444343"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C8891405"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C159985019"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C189165786"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C2776694085"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C2777701055"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C502942594"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C15083742"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C155672457"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4285498389","2022-12-01","https://semopenalex.org/concept/C153400128"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C127413603"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C41008148"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C42360764"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C60644358"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C182606246"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C115537861"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C2776453213"
"https://semopenalex.org/work/W4308034731","2022-12-01","https://semopenalex.org/concept/C66782513"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C147789679"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C15083742"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C2777230088"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C155672457"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C186187911"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C2780838151"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C115537861"
"https://semopenalex.org/work/W4297832311","2022-12-01","https://semopenalex.org/concept/C87023908"
"https://semopenalex.org/work/W4293795428","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4293795428","2022-12-01","https://semopenalex.org/concept/C126322002"
